Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
-1.4387674574,1.2193476831,-1.0745343418,-0.4797015146,-0.5036222239,-0.8447413003,-1.5032992921,-0.1145660275,1.6702129873,-2.2021610193,5.6160433409,2.883092907,3.2822186268,0.7844672552,1.8691656931,6.31150611,1.1434029913,1.0723423418,2.3762780791
-2.8971921323,0.3760571171,-0.118317152,-0.7497213776,-1.5975877275,-4.8372803639,0.7835137001,0.1846994779,0.4223371745,3.1083289401,3.0482546159,2.3333293282,2.4033953598,-0.2833068256,-0.2379815495,9.6659919334,-0.0283305669,0.9604536533,2.095421908
-3.9810298664,-0.8369998114,0.1297297293,-1.7343207388,-2.9525103025,-7.5920704164,2.9736734627,0.0010357497,-2.2388946668,6.9659348822,-1.8233798591000001,0.7689477624,0.9144031483,-1.0388182534,-3.1823104394,9.5025487133,-0.2469474933,-0.8484149909,0.2228641294
-2.8761499749,-1.1551835693,-0.1577547176,-2.410503206,-4.0715913391,-6.8745120079,4.9003040888,0.190568937,-3.8027337642,7.1451565234,-6.3182700774,-1.0885375781,-0.7880015031,-1.1513371206,-5.4450849125,4.3234939629,0.9678723886,-2.4815775637,-1.7298553261
-3.8486148889,-2.7028730574,-2.1188853674,-3.9342635173,-5.9035381398,-5.2192502853,4.8794806847,-1.3550371527,-5.7963081817,-0.3444721793,-9.560344035,-4.0978184233,-3.7640913844,-2.3458143163,-11.2543070436,-3.6745716325,0.0063809173,-5.0752865005,-4.5589589292
-9.1587693274,-5.7068316687,-4.5061636663,-6.1672740295,-8.0780030899,-4.2832288756,2.5080584085,-4.2824087334,-8.9344870749,-11.84209349,-11.7875065998,-7.2497874776,-6.833623301,-4.7562173247,-19.1867808112,-8.5897975913,-3.6908856838,-8.707485199,-8.0374908596
-13.8272619745,-7.6608537257,-5.1498462718,-6.8183734735,-8.4865998535,-3.1552506798,-0.3052750666,-4.5996514503,-10.8362283245,-18.3052628168,-13.0247839612,-8.7351706843,-7.8786829805,-5.9780825704,-19.7257154231,-8.7788748519,-6.1878474711,-10.7348515201,-10.0063718369
-14.5787193974,-8.0205253895,-5.1962440567,-6.2415410495,-6.9602767405,-2.1405340486,-2.2076925429,-2.8088327221,-11.3402662839,-17.7770848361,-12.9028411126,-9.0996046491,-7.7003793372,-5.6070392104,-12.8931932159,-5.3306040581,-6.7577575637,-10.9852124737,-10.6799671005
-13.4665200487,-8.0582563048,-5.5333284768,-5.4917025221,-4.6732364732,-3.1674660892,-3.2853607045,-1.1470970028,-12.096094641,-13.6740588883,-12.1099536126,-9.6306282917,-7.7388464261,-4.8869358669,-5.5674230501,-1.021976096,-6.3009637161,-10.6956070262,-10.6556263011
-10.5753632523,-7.0704647193,-3.0576927166,-2.5627388154,-0.390559194,-5.4639491172,-1.8792356959,2.1274662524,-10.8876809479,-7.0213706681,-9.4287349076,-8.5566222121,-5.5759138203,-2.0269537453,1.9281934658,0.5855894908,-3.7304723523,-7.6299582256,-7.2506018245
-6.9450686367,-4.9033676624,1.8339801804,2.2591544689,5.4117043851,-6.431011663,1.4490017144,6.336093437,-7.2597739064,-0.7891115648,-4.4177983345,-4.7629944478,-0.23127243,3.2271087794,6.2655704545,1.4494642285,0.8036810053,-1.9878039537,-0.8195579681
-6.2801040959,-3.952582871,4.518018938,5.650346715,9.0331794996,-7.1503462979,3.3788303612,8.1691393187,-4.864803322,1.6794473549,-0.765409143,-0.6295201531,4.6623964656,7.256274274,3.9159080797,3.7217108897,5.2819187891,1.880410623,4.3797569703
-5.6104912701,-2.933894602,6.3473109253,8.4677354608,10.8774888979,-6.9130590328,5.4192472367,9.4828299144,-2.213431084,4.3135198903,1.5754879411,4.1047229231,8.9393644641,10.5619203785,3.9132136355,6.6153886996,9.9936122561,5.0901645432,8.9072529332
-0.0756976867,1.310184977,10.6879701092,12.992512299,13.6244238485,-2.1937747233,9.6244225373,12.5190596936,3.5591126713,10.1079730376,5.4356444593,10.9534850541,14.7595231722,15.3284913587,11.7753214793,10.3422157774,16.1927738339,10.7698261537,14.9270585324
6.5904190407,5.9811738583,14.633870097,16.1799996108,14.9010780425,2.907441064,11.4662008973,13.3918393737,8.6852866139,14.2070953981,8.8706196237,16.4836623018,19.1503546,18.2699926634,19.2537888287,13.2223462044,20.578441487,15.4075304154,19.0835276466
8.9235274188,6.7862033143,14.8466264155,14.8078819894,12.0221064587,2.7243788145,7.7735383123,9.7784807995,9.3852272723,13.5603327272,9.7848685594,17.3804920118,19.0703445703,16.2799445945,18.9946235976,13.5857688053,19.814980876,15.5280826933,18.8401076059
7.765300639,4.5028926576,12.3067629651,10.9474035661,7.5872302162,0.1791135706,3.710683672,5.5608224313,7.5895318787,10.7995696304,9.9334403176,15.6373006347,16.2916869193,11.3024728058,14.3191618294,13.5227977038,16.156558151,13.368469533,16.3129083552
5.483218254,2.0184149801,8.9448288263,7.3972038471,4.7407512935,-1.2235588102,2.5728821144,3.00589732,6.0669829272,7.9292697504,10.0382266738,13.7409967617,12.8202144589,6.5506146198,12.1392920918,13.8748274075,12.4951666027,11.395920337,12.6462678649
2.4445556292,0.1412158306,5.3693669909,4.0812688033,3.0741513707,-2.5851532551,0.8601831361,0.4584949424,4.8223050272,5.3052749098,8.4712644383,11.1547794987,9.0421614432,3.185879039,11.3783184571,12.6169356929,9.5086083416,9.0908356723,7.7733524469
0.2763314437,-1.0505743592,2.6731760908,1.8220422644,1.7343139898,-3.5645187656,-0.7566469321,-1.3138255103,4.4611732046,3.9053732726,6.1751044025,8.2047098578,6.501135283,1.56527943,8.381266009,10.3048149315,8.0945394056,7.011877529,4.1469876261
-0.7066364529,-1.2081573093,1.7094140855,1.8890072851,1.0582667052,-3.3640177365,0.403446157,-1.174507013,5.1326343301,3.2221396914,5.2192661051,6.4218457527,5.9007554228,1.7379778032,4.4519648218,8.2345868264,7.529918226,6.3057105289,3.1496425816
-3.4492886331,-1.8842187691,0.3157174157,1.702742646,-0.2448336747,-4.3335150192,0.6770515489,-2.2914645422,3.7158892214,-0.2400248944,3.5772638142,4.8449487491,4.396413187,1.0799704947,0.234490557,5.8949214435,4.9517930788,4.5494675054,1.7539885402
-6.363791238,-2.963577714,-1.5937924861,0.5362126743,-2.1145626657,-5.5195213554,-0.4439586313,-5.0875853692,0.8720828015,-5.555316945,1.7196226061,3.6290497824,2.2492491437,-1.1077865799,-3.1235128673,5.9062747362,1.9785080959,1.9269695634,-0.3909283287
-4.4807168233,-1.3547149537,-0.4043198012,1.8222625149,-1.4264980108,-2.5330655579,1.165288888,-5.4264664401,1.2013841058,-5.4275111766,4.4685633173,5.1731225726,3.4946142552,-0.9030462784,-3.1539684647,10.1923912661,3.1395431855,2.6998926535,0.6162351972
0.1568687701,1.3058244805,2.9333401772,4.7856451959,1.0624753183,2.5174329091,2.7805490614,-3.8511086254,3.5250528467,0.1086880098,9.0487868947,7.6734009007,6.2096068873,1.3073796599,-2.3061076106,13.6629342071,5.9243725256,5.1995875727,3.4395862917
2.2532701007,1.2197516387,4.7068551808,5.9229429133,1.8889360009,4.2261139604,1.1667444955,-3.9757336317,4.0370216768,4.33103371,9.2550059838,7.7658878383,6.0331776355,1.748804491,-2.4576872462,11.6542531193,5.8008798547,5.4287705861,3.8829122379
2.2009619566,0.3829215388,5.5009317439,5.5620716877,1.4226051212,3.1651511141,0.8361734027,-4.8256078716,3.9450580235,6.8452270336,7.0157186584,6.367800585,4.3240008342,1.1605493339,-1.9620746257,6.179245517,4.9415964844,5.0600573194,3.1204279496
0.704693504,0.8178224365,5.9101688197,4.4475514622,0.5767700375,1.1649834104,3.5521436453,-4.0448966386,4.4231926104,6.6396862283,4.6659457289,4.5666626547,2.6780482219,0.3925228977,-3.1105714829,0.7102146206,4.8394159693,4.8620020506,1.9511394804
-3.5530005608,0.3728173493,4.4730786084,1.6646864437,-1.7964683261,-1.4398354071,3.9843324227,-2.9015484477,3.1197760867,0.3178498052,1.1833064681,1.6447904709,-0.0907919217,-1.8502680986,-6.7939181873,-2.9698916821,3.2574359113,2.6766100227,-1.3355472777
-7.6410116109,-0.7333991884,2.6245229028,-1.2112876574,-4.5057534989,-1.88145168,0.8269350319,-3.1894506396,0.9651438177,-6.0259039114,-1.0813688421,-1.1879677319,-2.748317985,-4.3040782799,-8.3033004575,-3.3913314789,0.8742603476,-0.1387679545,-4.3293283131
-8.7524663624,-0.3359370852,2.1348486022,-2.1830175198,-5.2835290504,0.1520405804,-0.7704203649,-4.2195666431,0.760483308,-6.0003833854,-1.0885832525,-2.7344811004,-3.7203357304,-5.384643831,-6.2589489813,-2.0042525165,-0.5055694503,-1.449072651,-5.0394623624
-8.2569289222,0.5290005881,1.7595863889,-2.6302864113,-5.5236423035,1.3101943122,0.6879768477,-5.5124608125,0.5974150381,-2.9083747754,-1.8000885225,-3.7613915251,-4.7049761956,-6.4766855926,-2.9292409803,-1.923771199,-2.1413600888,-2.4512025026,-6.0625852388
-5.6032747939,1.8841314076,1.9466907525,-2.6897796203,-5.8211100689,1.9845724385,2.3970207918,-5.7370799861,0.8160462872,1.3958320917,-1.8715585776,-2.7895487753,-5.0289865074,-7.3846890184,0.566692739,-1.0548067198,-3.682524842,-2.4704079955,-6.6924304473
1.3505783109,5.7865945964,4.5498724238,-0.5234317844,-3.5865475571,4.9470823652,3.9393078072,-2.374438437,5.0438004068,9.1587443318,2.9566505886,1.6993316059,-1.8588852389,-5.3009653941,4.4514419279,3.9188308237,-1.9473798158,0.9591238286,-3.7992777796
9.6788602317,9.9938799128,7.3023661147,1.8166494182,-0.8695407372,8.6584411876,5.3889528441,0.6697214538,10.1831618042,17.4200189555,9.9435292966,6.2552352817,2.3124073006,-1.9748529688,8.2918729502,9.3596730376,1.5564389557,5.4246967608,0.0415224463
15.1381811437,12.2681342599,7.9697482945,1.9614580564,-1.0419392382,10.6707456539,5.8713420507,-0.9544111743,12.5970071416,22.1971164146,13.4035432496,8.5485474627,4.270784885,-0.6584214088,10.2045858174,11.2979217829,3.4198372844,8.0485550051,2.0667168091
19.3636235626,15.1705523642,9.4372261068,3.001717015,-0.0792649668,13.2776778212,6.4848508543,-1.8404303762,16.2361419908,24.6947000386,16.1716595613,11.7510776118,7.0324169333,1.6831299343,11.7650927758,12.4042055853,6.1380473869,11.229099806,5.3203694185
23.6346937948,18.6547076505,12.4283168635,6.1942387076,4.0184129705,17.2781082952,7.1741395638,0.6339337773,22.2798389381,24.8953826372,22.3960609963,16.7912061983,11.6076696137,6.2733806819,14.7121750834,13.4434359762,10.4312270446,15.3233605685,10.123808697
26.2780584571,19.2653121444,12.465775491,7.0946273742,6.0992839101,18.9692474416,5.6049621014,1.1728568738,25.2467082674,22.6929804124,27.0686856065,19.147547819,13.0452783654,8.514169013,15.7191674574,11.4089309893,11.6228254725,16.0585762927,11.4753668002
29.4429240856,17.9639828776,9.5598755681,5.7572440787,5.7902930717,18.2945785537,3.5705065346,0.2779352988,24.7872374235,23.3020693399,27.3693806564,17.9348466381,11.3596996865,8.4381656656,15.5881593069,9.0540201551,10.0525538328,13.9329639202,9.8829983036
34.8926357588,18.1821666838,8.6324450331,6.8621354578,7.4340211186,18.3107266611,4.5184632995,2.2734133677,25.0133307403,30.0454068949,27.8566959304,17.1188416454,11.2306177931,9.3101027153,17.6870255409,10.0897045055,9.0909776905,13.6824577731,10.3875171358
39.1891218815,19.5586741698,9.831727024,9.627656331,10.1224800043,18.8372359219,7.2894393396,5.4254367619,24.696193676,38.5596242803,28.1061445739,16.9510740522,12.1651041707,9.7572415403,19.17679236,11.0850269676,8.204554533,14.4809540806,11.8413016168
40.2348560216,20.4135093119,10.9916108955,11.4308055084,11.4580531927,19.4902018144,10.4620932413,7.1648657486,22.6209176615,42.821735654,25.8848431136,16.2227039725,12.0692998701,8.7318743371,19.0848453957,8.9532489697,7.783367611,13.8675963007,11.7782385334
40.4256171303,20.8226656174,12.4515493673,12.7179692854,12.3066843465,21.7686393609,13.1863590895,8.4067401631,21.4682171916,43.3053739579,24.2001670396,15.5452123799,11.2131316845,7.9571917909,20.648978702,6.3605715621,8.5257004162,13.3623648513,11.509661447
40.5507038219,20.261712863,12.2348986943,11.6914390623,11.1608433452,24.6770058097,12.65247125,7.5240161645,20.5202817435,42.2112171187,22.951870336,12.7553865701,8.0211077625,6.2379064866,22.2351605105,4.5362116197,7.1847184154,11.8289775828,8.94171251
39.4275665191,18.7235115348,9.1611417912,7.3329722056,7.199851855,26.228829676,9.5691016243,3.0989931219,18.0670000408,38.4047176759,20.2606348062,7.1873069263,2.6055708144,2.548382437,20.6449468403,1.5790600896,3.2848446612,7.8401449774,3.5306863954
40.2052368353,19.1084405632,7.6388926342,4.6322614357,5.7377049454,28.0835658029,8.6560025713,0.4605555868,17.1957068362,38.6288343206,18.3797363515,4.290666274,0.3677070778,0.7184092484,20.4343595788,-0.0563563644,2.1393413338,5.8299118489,1.636257284
44.5162438632,21.9414413484,9.5440279792,6.1034142776,8.4760695098,31.2619970047,10.0913953748,2.6536689176,19.2664446267,48.3616604969,18.0690378342,6.5684665551,3.1895628096,2.3407671487,26.8503055953,2.0340501226,4.788521463,7.8790162814,4.4818145048
46.8393461861,23.7389838173,11.44314097,8.0180091422,10.7263452067,32.3545429469,9.9129419909,5.4779866673,20.4672937103,55.3588949414,17.4240046748,9.677646366,6.4817741875,4.0595589846,34.4637270225,4.8364360112,6.0743670586,10.3251809457,6.8914119562
